,dc_p_val,dc_delta,sc_p_val,sc_delta,LAM.pct,Control.pct,pct.fc,Score
RFXANK,0,0.254869535481889,3.81138127299097e-268,0.225240199959819,0.185,0.273,0.677655677655678,0.320515902183069
SP3,1.87076275384978e-200,0.194594409649247,1.6696391972448e-73,0.116826775829001,0.221,0.175,1.26285714285714,0.348593532460183
APEX1,1.23093289994791e-300,0.238736492743203,7.05105096845201e-166,0.176825559723185,0.299,0.398,0.751256281407035,0.361741105070585
BATF,4.50421261662069e-68,0.112311466429189,2.35368389179729e-39,0.0845236734630081,0.152,0.029,5.24137931034483,0.372936447873074
FOS,1.94727125324313e-26,0.068539536972476,1.62800354056547e-25,0.0672530495092308,0.765,0.856,0.893691588785047,0.372936447873074
EP300,1.46580785797596e-67,0.111876062424732,4.1638281266591e-82,0.123644066795088,0.282,0.228,1.23684210526316,0.385909902844379
MTA1,4.81347313888822e-240,0.213131746956972,0,0.315962025475701,0.136,0.114,1.19298245614035,0.388291031697898
HMGA1,1.55155338613293e-231,0.209286130637213,0,0.242603328012712,0.192,0.263,0.730038022813688,0.412763281203768
EPAS1,4.88401530182481e-256,0.220179225024179,5.62466125001552e-81,0.122769804893168,0.639,0.552,1.15760869565217,0.426497388923475
RXRB,1.6677891650058e-205,0.197055807820208,0,0.250383069519699,0.113,0.088,1.28409090909091,0.49340773531921
STAT6,2.01021667106898e-126,0.15407368381325,1.89893961159269e-70,0.114307930954163,0.272,0.239,1.13807531380753,0.494008322820471
ZXDC,3.59999637743664e-89,0.128973701997654,2.82949264685446e-111,0.138599114720713,0.208,0.106,1.9622641509434,0.518399092804028
SFPQ,5.22507356098768e-61,0.106153049394863,3.84040487566878e-134,0.15877920893651,0.67,0.474,1.41350210970464,0.518399092804028
CLOCK,6.78888330405744e-221,0.204374938765832,1.12084151539216e-263,0.22346709861932,0.245,0.227,1.07929515418502,0.520329502548339
RORC,3.88830259382469e-255,0.219788210788117,2.44282779751873e-243,0.212284544362511,0.116,0.125,0.928,0.549682039068987
JUN,9.11125708288802e-64,0.108599049912566,4.62204577993506e-55,0.100679631599995,0.749,0.828,0.904589371980676,0.552032285454597
CREB1,4.02287263071535e-155,0.170922585906058,1.45611844553565e-69,0.113568359442757,0.206,0.172,1.19767441860465,0.570199038360491
FOSL2,3.12186244446139e-54,0.0998924375373362,9.17833646774326e-76,0.118654933596429,0.323,0.153,2.11111111111111,0.570199038360491
VDR,1.25737004033176e-205,0.197115221641956,2.39957147579008e-127,0.154644117497933,0.157,0.098,1.60204081632653,0.598301034830362
SMAD5,2.83995479150227e-231,0.209166342308245,6.71792423985057e-231,0.208990757977025,0.219,0.234,0.935897435897436,0.643746556702634
EGR1,3.45232509027016e-70,0.11409140693531,5.99238191648516e-89,0.128810053802199,0.602,0.537,1.12104283054004,0.65594023129601
TFDP2,1.01325199129518e-66,0.111159009838258,4.64966920960039e-194,0.183086613801009,0.2,0.147,1.36054421768708,0.65594023129601
CTBP2,5.83363673182358e-51,0.0967261630870331,2.38943698442255e-131,0.151373601049435,0.267,0.189,1.41269841269841,0.65594023129601
STAT1,1.22193269031777e-192,0.190722759515647,1.42526580952777e-302,0.239509676809396,0.217,0.194,1.11855670103093,0.686802597080104
MLXIP,7.98579691662309e-118,0.148655135645358,4.91539266655897e-59,0.104265203324124,0.257,0.191,1.3455497382199,0.718865666701443
