,dc_lam12_p_val,dc_lam12_delta,sc_lam12_p_val,sc_lam12_delta,dc_nonlam_p_val,dc_nonlam_delta,sc_nonlam_p_val,sc_nonlam_delta,LAM1.pct,LAM2.pct,nonLAM.pct,pct.fc.12,pct.fc.nl,Score
NFKBIZ,4.07798729475973e-09,0.406134969325153,5.49681672736711e-10,0.419205121365698,0.00151842073696675,0.134312205337294,3.55011394217217e-05,0.175573622408464,0.706,0.452,0.464,1.56194690265487,1.52155172413793,0.986189767454076
YBX1,1.2458418375428e-13,0.515604161109629,0.00607603059143953,0.176687116564417,2.56153020716802e-15,0.354535730967126,2.22311883031784e-17,0.380665807371959,0.767,0.757,0.696,1.01321003963012,1.10201149425287,1
CREB5,9.70125308566177e-12,0.472712723392905,2.02476904273433e-05,0.288770338757002,2.60312082235213e-17,0.379784865759368,4.00602885558152e-22,0.430979744050289,0.129,0.322,0.098,0.400621118012422,1.31632653061224,1
AR,2.75250920840146e-07,0.352787409975994,5.43662618835286e-05,0.272659375833556,2.76116441766255e-13,0.326800030110279,6.16285765227961e-06,0.198104502412216,0.202,0.348,0.056,0.580459770114943,3.60714285714286,1
NFAT5,4.29466233010268e-07,0.346705788210189,0.00195314243152155,0.203307548679648,5.44081022298257e-18,0.388084936901072,0.000516313670239894,0.148699581479464,0.607,0.478,0.375,1.26987447698745,1.61866666666667,1
HES1,8.28902335305883e-07,0.337530008002134,0.00390782011063132,0.187409975993598,1.56959905402347e-55,0.709338628958067,5.4613543357239e-40,0.597405826709175,0.331,0.287,0.324,1.15331010452962,1.02160493827161,1
MTF1,1.91833991854927e-06,0.325473459589224,7.62639540984883e-05,0.266791144305148,1.38895349343046e-10,0.28596728345434,3.84234728442792e-11,0.294845959391846,0.129,0.087,0.085,1.48275862068966,1.51764705882353,1
KLF6,8.81973601957553e-06,0.302427313950387,0.000759141190999566,0.223419578554281,4.78395366871203e-09,0.260025704799566,2.3830603477112e-06,0.207307110653424,0.865,0.704,0.617,1.22869318181818,1.40194489465154,1
RFX2,1.01051827109647e-05,0.30029341157642,0.000398702670727702,0.236276340357429,2.2345903968945e-09,0.265808050674119,0.0155769992463812,0.0976578768921503,0.178,0.165,0.188,1.07878787878788,0.946808510638298,1
CREB1,2.72617640787972e-05,0.284289143771672,0.000465608221603687,0.233235529474527,1.79056010430467e-12,0.315064117000646,2.2042112897933e-09,0.265910937743913,0.313,0.33,0.203,0.948484848484848,1.54187192118227,1
RFX3,3.89920927062085e-05,0.278314217124567,0.0224520689398229,0.141317684715924,1.34915914152381e-18,0.395301068853199,0.000194325326352801,0.160761894948445,0.27,0.278,0.232,0.971223021582734,1.16379310344828,1
NFIB,0.000115525039081014,0.259429181114964,0.000130819199928196,0.257188583622299,4.7031045076161e-09,0.26015651174887,8.64366761232875e-06,0.194732058623726,0.54,0.374,0.473,1.44385026737968,1.14164904862579,1
KAT2B,0.000118302437545179,0.259002400640171,0.0083073947004909,0.168738330221392,5.01604767548941e-29,0.503897676880921,8.77082609995909e-31,0.517870111167396,0.153,0.061,0.097,2.50819672131148,1.57731958762887,1
ARID1B,0.000185637821272745,0.2507868765004,0.000126745801809053,0.220698853027474,5.78323546012079e-06,0.198732468320963,3.68786240740353e-07,0.177606991754843,0.589,0.591,0.417,0.996615905245347,1.41247002398082,1
