p_val	avg_log2FC	pct.1	pct.2	p_val_adj	symbol	pct.fc
ENSG00000140319	0.00239889229632234	0.654943860242012	0.707	0.678	1	SRP14	1.04277286135693
ENSG00000135905	0.00241702557999597	-1.09977737647101	0.093	0.209	1	DOCK10	0.444976076555024
ENSG00000148303	0.0025025851847829	0.620785736219479	0.81	0.835	1	RPL7A	0.970059880239521
ENSG00000182253	0.00262573330174455	0.708334233674812	0.195	0.078	1	SYNM	2.5
ENSG00000176046	0.00272059909008023	0.942438076973068	0.659	0.661	1	NUPR1	0.996974281391831
ENSG00000140836	0.00312376860339025	1.2744930433557	0.185	0.383	1	ZFHX3	0.483028720626632
ENSG00000173915	0.00370707301185126	1.34675125969873	0.541	0.6	1	ATP5MD	0.901666666666667
ENSG00000172809	0.00385757582223439	0.813152257408945	0.737	0.765	1	RPL38	0.963398692810458
ENSG00000182718	0.0038971612714621	-0.600665483303427	0.395	0.626	1	ANXA2	0.630990415335463
ENSG00000164120	0.00440482930425258	1.51625543365668	0.39	0.313	1	HPGD	1.24600638977636
ENSG00000125534	0.00449382674479434	0.927016910120076	0.61	0.652	1	PPDPF	0.935582822085889
ENSG00000156467	0.00522907997192527	0.812312121091684	0.712	0.722	1	UQCRB	0.986149584487535
ENSG00000158258	0.00544007888654902	1.19987916929075	0.176	0.07	1	CLSTN2	2.51428571428571
ENSG00000164405	0.00573872711309443	1.08336608497157	0.6	0.652	1	UQCRQ	0.920245398773006
ENSG00000147099	0.00622139293481884	-0.636021170119794	0.156	0.287	1	HDAC8	0.543554006968641
ENSG00000168653	0.00689009375637508	0.860767631341056	0.61	0.643	1	NDUFS5	0.948678071539658
ENSG00000253496	0.0071309627008829	-0.663103180776091	0.054	0.139	1	AC011586.2	0.388489208633093
ENSG00000196683	0.00714606140929521	0.869654131798791	0.61	0.696	1	TOMM7	0.876436781609195
ENSG00000197756	0.007190392745251	0.613019405730557	0.878	0.904	1	RPL37A	0.971238938053097
ENSG00000089220	0.00744730251326125	0.970890321479029	0.654	0.73	1	PEBP1	0.895890410958904
